ID,bottleneck,timepoint,pfu,cfu,raw,dilution
1,2,t0,1.10E+04,1.50E+06,50,3.00E+04
2,2,t0,9.00E+03,1.29E+06,43,3.00E+04
3,2,t0,8.00E+03,1.20E+06,40,3.00E+04
4,2,t0,1.20E+04,1.50E+06,50,3.00E+04
5,2,t0,1.60E+04,1.89E+06,63,3.00E+04
6,2,t0,2.60E+04,1.89E+06,63,3.00E+04
1,3,t0,1.20E+04,1.80E+06,60,3.00E+04
2,3,t0,1.00E+04,2.16E+06,72,3.00E+04
3,3,t0,8.00E+03,2.04E+06,68,3.00E+04
4,3,t0,9.00E+03,2.70E+06,90,3.00E+04
5,3,t0,8.00E+03,2.22E+06,74,3.00E+04
6,3,t0,1.00E+04,1.35E+06,45,3.00E+04
1,4,t0,8.00E+03,1.74E+06,58,3.00E+04
2,4,t0,9.00E+03,1.86E+06,62,3.00E+04
3,4,t0,1.10E+04,1.74E+06,58,3.00E+04
4,4,t0,8.00E+03,2.25E+06,75,3.00E+04
5,4,t0,8.00E+03,2.31E+06,77,3.00E+04
6,4,t0,1.00E+04,2.37E+06,79,3.00E+04
1,5,t0,1.00E+04,3.00E+05,100,3.00E+03
2,5,t0,1.00E+04,1.74E+05,58,3.00E+03
3,5,t0,6.00E+03,6.78E+05,226,3.00E+03
4,5,t0,1.10E+04,7.50E+04,25,3.00E+03
5,5,t0,1.20E+04,1.41E+05,47,3.00E+03
6,5,t0,1.20E+04,4.50E+04,15,3.00E+03
1,6,t0,1.00E+04,1.26E+06,42,3.00E+04
2,6,t0,8.00E+03,1.62E+06,54,3.00E+04
3,6,t0,8.00E+03,7.50E+05,25,3.00E+04
4,6,t0,1.10E+04,1.68E+06,56,3.00E+04
5,6,t0,1.00E+04,1.38E+06,46,3.00E+04
6,6,t0,1.20E+04,1.44E+06,48,3.00E+04
1,7,t0,1.00E+04,2.13E+06,71,3.00E+04
2,7,t0,1.60E+04,1.68E+06,56,3.00E+04
3,7,t0,1.00E+04,1.32E+06,44,3.00E+04
4,7,t0,8.00E+03,1.29E+06,43,3.00E+04
5,7,t0,1.10E+04,1.44E+06,48,3.00E+04
6,7,t0,8.00E+03,1.38E+06,46,3.00E+04
1,8,t0,1.00E+04,1.56E+06,52,3.00E+04
2,8,t0,8.00E+03,7.20E+05,24,3.00E+04
3,8,t0,1.20E+04,1.53E+06,51,3.00E+04
4,8,t0,8.00E+03,1.27E+06,424,3.00E+03
5,8,t0,6.00E+03,7.62E+05,254,3.00E+03
6,8,t0,8.00E+03,1.54E+06,512,3.00E+03
1,9,t0,1.00E+04,1.17E+06,39,3.00E+04
2,9,t0,1.10E+04,7.20E+05,240,3.00E+03
3,9,t0,1.10E+04,6.42E+05,214,3.00E+03
4,9,t0,1.00E+04,4.98E+05,166,3.00E+03
5,9,t0,8.00E+03,9.30E+05,310,3.00E+03
6,9,t0,8.00E+03,8.58E+05,286,3.00E+03
1,2,t1,1.00E+12,1.74E+06,58,3.00E+04
2,2,t1,2.00E+10,1.02E+06,34,3.00E+04
3,2,t1,1.80E+10,1.50E+05,5,3.00E+04
4,2,t1,2.20E+10,3.47E+05,1156,3.00E+02
5,2,t1,2.00E+10,2.10E+05,7,3.00E+04
6,2,t1,1.80E+11,2.34E+06,78,3.00E+04
1,3,t1,4.40E+10,6.60E+05,22,3.00E+04
2,3,t1,4.20E+10,7.80E+05,26,3.00E+04
3,3,t1,4.80E+11,3.00E+05,10,3.00E+04
4,3,t1,3.80E+10,1.22E+05,408,3.00E+02
5,3,t1,1.00E+12,1.20E+06,400,3.00E+03
6,3,t1,4.40E+10,1.08E+07,360,3.00E+04
1,4,t1,1.00E+12,1.26E+06,42,3.00E+04
2,4,t1,4.20E+10,3.00E+05,10,3.00E+04
3,4,t1,1.00E+12,4.29E+06,143,3.00E+04
4,4,t1,4.80E+11,8.70E+05,29,3.00E+04
5,4,t1,4.80E+11,3.00E+06,100,3.00E+04
6,4,t1,1.00E+12,3.30E+05,11,3.00E+04
1,5,t1,4.60E+10,8.40E+05,28,3.00E+04
2,5,t1,6.60E+11,5.40E+05,18,3.00E+04
3,5,t1,8.00E+11,8.70E+05,29,3.00E+04
4,5,t1,8.00E+11,1.20E+05,4,3.00E+04
5,5,t1,5.40E+11,1.32E+06,44,3.00E+04
6,5,t1,1.60E+10,1.50E+05,5,3.00E+04
1,6,t1,3.40E+10,1.50E+05,5,3.00E+04
2,6,t1,3.80E+11,1.50E+07,50,3.00E+05
3,6,t1,2.80E+11,2.40E+05,8,3.00E+04
4,6,t1,1.00E+11,3.00E+05,10,3.00E+04
5,6,t1,1.00E+10,2.70E+05,9,3.00E+04
6,6,t1,6.80E+09,1.80E+05,6,3.00E+04
1,7,t1,3.80E+10,1.22E+06,408,3.00E+03
2,7,t1,1.60E+10,7.92E+05,264,3.00E+03
3,7,t1,2.20E+11,5.31E+05,177,3.00E+03
4,7,t1,2.80E+10,1.55E+06,516,3.00E+03
5,7,t1,1.40E+11,1.15E+06,384,3.00E+03
6,7,t1,1.00E+10,7.50E+05,250,3.00E+03
1,8,t1,3.60E+10,5.40E+05,18,3.00E+04
2,8,t1,3.20E+10,3.60E+05,12,3.00E+04
3,8,t1,5.20E+11,4.08E+06,136,3.00E+04
4,8,t1,1.80E+10,2.10E+05,7,3.00E+04
5,8,t1,3.80E+11,1.37E+07,456,3.00E+04
6,8,t1,2.60E+11,4.50E+05,15,3.00E+04
1,9,t1,2.00E+10,1.50E+05,5,3.00E+04
2,9,t1,1.00E+11,1.47E+04,49,3.00E+02
3,9,t1,4.20E+09,1.69E+07,564,3.00E+04
4,9,t1,2.60E+10,1.47E+06,49,3.00E+04
5,9,t1,2.00E+11,3.18E+06,106,3.00E+04
6,9,t1,2.80E+10,1.89E+06,63,3.00E+04
1,2,t2,4.40E+08,9.84E+06,328,3.00E+04
2,2,t2,4.40E+08,2.58E+06,86,3.00E+04
3,2,t2,3.00E+08,7.20E+05,24,3.00E+04
4,2,t2,5.20E+06,3.18E+07,1060,3.00E+04
5,2,t2,5.00E+07,2.12E+07,708,3.00E+04
6,2,t2,5.60E+08,3.12E+06,104,3.00E+04
1,3,t2,1.00E+09,1.98E+07,660,3.00E+04
2,3,t2,8.00E+08,1.44E+06,48,3.00E+04
3,3,t2,1.20E+09,3.78E+06,126,3.00E+04
4,3,t2,1.00E+10,1.26E+06,42,3.00E+04
5,3,t2,1.00E+09,7.50E+05,25,3.00E+04
6,3,t2,1.00E+08,1.80E+07,600,3.00E+04
1,4,t2,6.00E+09,3.00E+04,15,2000
2,4,t2,1.60E+10,3.00E+04,10,3.00E+03
3,4,t2,3.20E+09,4.80E+04,16,3.00E+03
4,4,t2,4.20E+09,3.00E+03,1,3.00E+03
5,4,t2,5.00E+09,7.20E+04,24,3.00E+03
6,4,t2,1.80E+09,1.63E+06,544,3.00E+03
1,5,t2,2.60E+09,2.00E+03,1,2000
2,5,t2,5.00E+09,4.00E+03,2,2000
3,5,t2,3.60E+09,3.00E+03,1,3.00E+03
4,5,t2,4.00E+09,1.00E+04,5,2.00E+03
5,5,t2,2.40E+10,4.00E+03,2,2.00E+03
6,5,t2,3.20E+07,1.40E+04,7,2.00E+03
1,6,t2,2.00E+03,3.20E+04,16,2.00E+03
2,6,t2,2.00E+04,1.80E+04,9,2.00E+03
3,6,t2,3.40E+03,8.00E+04,4,2.00E+04
4,6,t2,0.00E+00,3.00E+04,15,2.00E+03
5,6,t2,0.00E+00,2.60E+04,13,2.00E+03
6,6,t2,0.00E+00,1.00E+05,5,2.00E+04
1,7,t2,0.00E+00,4.00E+05,20,2.00E+04
2,7,t2,2.00E+03,1.00E+05,5,2.00E+04
3,7,t2,3.80E+04,3.00E+03,1,3.00E+03
4,7,t2,1.00E+06,3.60E+04,18,2.00E+03
5,7,t2,0.00E+00,1.00E+05,5,2.00E+04
6,7,t2,0.00E+00,8.00E+05,4,2.00E+05
1,8,t2,0.00E+00,8.00E+04,4,2.00E+04
2,8,t2,0.00E+00,6.00E+03,3,2.00E+03
3,8,t2,1.20E+04,1.40E+04,7,2.00E+03
4,8,t2,0.00E+00,1.00E+05,5,2.00E+04
5,8,t2,8.00E+04,1.60E+05,8,2.00E+04
6,8,t2,4.00E+03,3.00E+03,1,3.00E+03
1,9,t2,0.00E+00,6.00E+04,3,2.00E+04
2,9,t2,0.00E+00,1.80E+05,9,2.00E+04
3,9,t2,0.00E+00,1.20E+05,6,2.00E+04
4,9,t2,3.00E+06,2.10E+04,7,3.00E+03
5,9,t2,4.00E+03,1.40E+05,7,2.00E+04
6,9,t2,0.00E+00,3.00E+03,1,3.00E+03
1,2,t3,3.20E+04,,,
2,2,t3,8.00E+04,,,
3,2,t3,1.20E+04,,,
4,2,t3,2.00E+03,,,
5,2,t3,1.00E+04,,,
6,2,t3,1.00E+05,,,
1,3,t3,2.40E+04,,,
2,3,t3,2.40E+04,,,
3,3,t3,4.00E+03,,,
4,3,t3,1.40E+05,,,
5,3,t3,1.20E+05,,,
6,3,t3,0.00E+00,,,
1,4,t3,6.00E+05,,,
2,4,t3,4.60E+07,,,
3,4,t3,6.00E+04,,,
4,4,t3,3.20E+05,,,
5,4,t3,4.40E+05,,,
6,4,t3,1.20E+05,,,
1,5,t3,1.20E+04,,,
2,5,t3,4.00E+04,,,
3,5,t3,1.60E+06,,,
4,5,t3,6.00E+05,,,
5,5,t3,2.60E+05,,,
6,5,t3,4.00E+05,,,
1,6,t3,0.00E+00,,,
2,6,t3,0.00E+00,,,
3,6,t3,0.00E+00,,,
4,6,t3,0.00E+00,,,
5,6,t3,0.00E+00,,,
6,6,t3,0.00E+00,,,
1,7,t3,0.00E+00,,,
2,7,t3,0.00E+00,,,
3,7,t3,0.00E+00,,,
4,7,t3,0.00E+00,,,
5,7,t3,0.00E+00,,,
6,7,t3,0.00E+00,,,
1,8,t3,0.00E+00,,,
2,8,t3,0.00E+00,,,
3,8,t3,0.00E+00,,,
4,8,t3,0.00E+00,,,
5,8,t3,0.00E+00,,,
6,8,t3,0.00E+00,,,
1,9,t3,0.00E+00,,,
2,9,t3,0.00E+00,,,
3,9,t3,0.00E+00,,,
4,9,t3,0.00E+00,,,
5,9,t3,0.00E+00,,,
6,9,t3,0.00E+00,,,
1,2,t4,0.00E+00,,,
2,2,t4,0.00E+00,,,
3,2,t4,0.00E+00,,,
4,2,t4,0.00E+00,,,
5,2,t4,0.00E+00,,,
6,2,t4,2.00E+03,,,
1,3,t4,0.00E+00,,,
2,3,t4,0.00E+00,,,
3,3,t4,0.00E+00,,,
4,3,t4,0.00E+00,,,
5,3,t4,0.00E+00,,,
6,3,t4,0.00E+00,,,
1,4,t4,0.00E+00,,,
2,4,t4,2.20E+04,,,
3,4,t4,0.00E+00,,,
4,4,t4,0.00E+00,,,
5,4,t4,0.00E+00,,,
6,4,t4,0.00E+00,,,
1,5,t4,0.00E+00,,,
2,5,t4,0.00E+00,,,
3,5,t4,0.00E+00,,,
4,5,t4,0.00E+00,,,
5,5,t4,0.00E+00,,,
6,5,t4,0.00E+00,,,
1,6,t4,0.00E+00,,,
2,6,t4,0.00E+00,,,
3,6,t4,0.00E+00,,,
4,6,t4,0.00E+00,,,
5,6,t4,0.00E+00,,,
6,6,t4,0.00E+00,,,
1,7,t4,0,,,
2,7,t4,0,,,
3,7,t4,0,,,
4,7,t4,0,,,
5,7,t4,0,,,
6,7,t4,0,,,
1,8,t4,0,,,
2,8,t4,0,,,
3,8,t4,0,,,
4,8,t4,0,,,
5,8,t4,0,,,
6,8,t4,0,,,
1,9,t4,0,,,
2,9,t4,0,,,
3,9,t4,0,,,
4,9,t4,0,,,
5,9,t4,0,,,
6,9,t4,0,,,
1,2,t5,0,,,
2,2,t5,0,,,
3,2,t5,0,,,
4,2,t5,0,,,
5,2,t5,0,,,
6,2,t5,0,,,
1,3,t5,0,,,
2,3,t5,0,,,
3,3,t5,0,,,
4,3,t5,0,,,
5,3,t5,0,,,
6,3,t5,0,,,
1,4,t5,0,,,
2,4,t5,0,,,
3,4,t5,0,,,
4,4,t5,0,,,
5,4,t5,0,,,
6,4,t5,0,,,
1,5,t5,0,,,
2,5,t5,0,,,
3,5,t5,0,,,
4,5,t5,0,,,
5,5,t5,0,,,
6,5,t5,0,,,
1,6,t5,0,,,
2,6,t5,0,,,
3,6,t5,0,,,
4,6,t5,0,,,
5,6,t5,0,,,
6,6,t5,0,,,
1,7,t5,0,,,
2,7,t5,0,,,
3,7,t5,0,,,
4,7,t5,0,,,
5,7,t5,0,,,
6,7,t5,0,,,
1,8,t5,0,,,
2,8,t5,0,,,
3,8,t5,0,,,
4,8,t5,0,,,
5,8,t5,0,,,
6,8,t5,0,,,
1,9,t5,0,,,
2,9,t5,0,,,
3,9,t5,0,,,
4,9,t5,0,,,
5,9,t5,0,,,
6,9,t5,0,,,