bottleneck,timepoint,pfu,cfu,prop.Sensitive,prop.CRISPR,prop.SM,mean.CR1.spacers, mean.CR2.spacers,mean.total.spacers,var.CR1,var.CR2,var.total
2,t3,14000,912000000,0,0.833333333,0.166666667,1.333333333,2.19047619,3.523809524,0.333333333,1.361904762,1.695238095
2,t3,14000,2770000000,0,1,0,1.2,2,3.2,0.2,1.304347826,1.504347826
2,t3,8000,800000000,0.041666667,0.75,0.208333333,1,1.65,2.65,0,0.660526316,0.660526316
2,t3,20000,784000000,0.041666667,0.833333333,0.125,1,2.15,3.15,0,1.186842105,1.186842105
2,t3,4000,2900000000,0.125,0.833333333,0.041666667,1.333333333,2.2,3.533333333,0.333333333,1.010526316,1.343859649
2,t3,10000,1340000000,0,0.875,0.125,1,2.238095238,3.238095238,0,1.490476191,1.490476191
3,t3,24000,1960000000,0.041666667,0.708333333,0.25,1,1.625,2.625,0,1.183333333,1.183333333
3,t3,18000,688000000,0.041666667,0.791666667,0.166666667,1.5,1.722222222,3.222222222,0.5,0.683006536,1.183006536
3,t3,40000,3570000000,0,0.916666667,0.083333333,1,1.952380952,2.952380952,0,0.747619048,0.747619048
3,t3,24000,294000000,0.166666667,0.791666667,0.041666667,0,1.736842105,1.736842105,0,0.871345029,0.871345029
3,t3,38000,888000000,0.041666667,0.833333333,0.125,1,2.3,3.3,0,1.273684211,1.273684211
3,t3,22000,852000000,0,0.791666667,0.208333333,2,2.105263158,4.105263158,0,1.099415205,1.099415205
4,t3,8000,406000000,0.083333333,0.791666667,0.125,1,1.722222222,2.722222222,0,1.153594771,1.153594771
4,t3,2000,452000000,0.125,0.75,0.125,1,2.047619048,3.047619048,0,1.647619048,1.647619048
4,t3,8000,282000000,0.041666667,0.708333333,0.25,2,2,4,0,1.375,1.375
4,t3,8000,273000000,0.083333333,0.75,0.166666667,1,1.333333333,2.333333333,0,0.352941177,0.352941177
4,t3,4000,400000000,0.125,0.75,0.125,1,1.526315789,2.526315789,0,0.485380117,0.485380117
4,t3,24000,546000000,0,0.75,0.25,1,3,4,0,1.647058824,1.647058824
5,t3,2000,164000000,0.041666667,0.75,0.208333333,1,1.842105263,2.842105263,0,0.251461988,0.251461988
5,t3,2000,291000000,0,1,0,1,2.083333333,3.083333333,0,0.862318841,0.862318841
5,t3,2000,297000000,0.041666667,0.875,0.083333333,1,2,3,0,1.5,1.5
5,t3,2000,448000000,0.166666667,0.583333333,0.25,1,2.214285714,3.214285714,0,1.565934066,1.565934066
5,t3,0,174000000,0.083333333,0.75,0.166666667,1,1.65,2.65,0,1.502631579,1.502631579
5,t3,0,198000000,0.166666667,0.708333333,0.125,1,1.764705882,2.764705882,0,0.816176471,0.816176471
6,t3,4000,380000000,0.166666667,0.833333333,0,1,1.473684211,2.473684211,0,0.374269006,0.374269006
6,t3,0,350000000,0.083333333,0.833333333,0.083333333,1,3.210526316,4.210526316,0,1.175438597,1.175438597
6,t3,0,185000000,0.125,0.75,0.125,0,1.888888889,1.888888889,0,0.810457516,0.810457516
6,t3,0,122000000,0.166666667,0.625,0.208333333,1,1.8,2.8,0,0.742857143,0.742857143
6,t3,0,238000000,0.208333333,0.625,0.166666667,1,1.8,2.8,0,0.6,0.6
6,t3,10000,265000000,0.041666667,0.75,0.208333333,1,1.833333333,2.833333333,0,0.852941177,0.852941177
7,t3,12000,68000000,0.333333333,0.458333333,0.208333333,0,1.454545455,1.454545455,0,0.472727273,0.472727273
7,t3,0,121000000,0.166666667,0.625,0.208333333,2,2,4,0,0.571428571,0.571428571
7,t3,2000,132000000,0.25,0.666666667,0.083333333,1,3,4,0,1.866666667,1.866666667
7,t3,6000,7400000,0.208333333,0.666666667,0.125,1,3.5625,4.5625,0,3.8625,3.8625
7,t3,4000,48000000,0.125,0.541666667,0.333333333,0,1.538461538,1.538461538,0,0.602564103,0.602564103
7,t3,8000,27400000,0.375,0.625,0,1,1.666666667,2.666666667,0,3.095238095,3.095238095
8,t3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,t3,10000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,t3,200,4280000,0,1,0,1,1,2,0,0,0
8,t3,200,9400000,0,1,0,1,1,2,0,0,0
8,t3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,t3,2000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,t3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,t3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,t3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,t3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,t3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,t3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA