bottleneck,variable,mean,lower,upper,lower2,upper2
2,number,3.216,2.598,3.834,2.761905427,3.670094574
3,number,2.99,2.372,3.609,2.579914592,3.400085408
4,number,3.105,2.487,3.723,2.698115259,3.511884741
5,number,2.926,2.307,3.544,2.523516175,3.328483825
6,number,2.834,2.216,3.453,2.490328424,3.177671576
7,number,3.037,2.419,3.655,2.549698511,3.524301489
8,number,2,0.929,3.071,2,2
9,number,NA,NA,NA,NA,NA
2,SD,1.135,0.896,1.374,NA,NA
3,SD,1.025,0.786,1.264,NA,NA
4,SD,1.017,0.778,1.257,NA,NA
5,SD,1.006,0.767,1.245,NA,NA
6,SD,0.859,0.62,1.099,NA,NA
7,SD,1.218,0.979,1.458,NA,NA
8,SD,0,0,0,NA,NA
9,SD,NA,NA,NA,NA,NA