Bottleneck,Spacer.Number,mean,lower,upper
2,Multiple,0.74,0.657883207,0.8119059
3,Multiple,0.59,0.496153928,0.675386057
4,Multiple,0.54,0.443140813,0.627912111
5,Multiple,0.62,0.533253808,0.711092615
6,Multiple,0.61,0.518604209,0.702403922
7,Multiple,0.62,0.511194989,0.714535079
8,Multiple,0,0.00E+00,0
9,Multiple,NA,NA,NA
2,Single,0.26,0.1880941,0.342116793
3,Single,0.41,0.324613943,0.503846072
4,Single,0.46,0.372087889,0.556859187
5,Single,0.37,0.288907385,0.466746192
6,Single,0.39,0.297596078,0.481395791
7,Single,0.38,0.285464921,0.488805011
8,Single,1,1,1
9,Single,NA,NA,NA