ID,bottleneck,timepoint,pfu,cfu,prop.Sensitive,prop.CRISPR,prop.SM,mean.CR1.spacers, mean.CR2.spacers,mean.total.spacers,mean.just_total.spacers,spacer.var
1,monoculture,t3,2.20E+10,7.60E+05,0,0.791666667,0.208333333,0,1.041666667,1.041666667,1.316,0.339181287
2,monoculture,t3,3.60E+04,5.50E+08,0.041666667,0.958333333,0,0,0.958333333,0.958333333,1,0
3,monoculture,t3,3.40E+10,1.38E+06,0.083333333,0.666666667,0.25,0.083333333,0.833333333,0.916666666,2.25,0.25
4,monoculture,t3,4.00E+03,5.60E+08,0,1,0,0,1,1,1,0
5,monoculture,t3,8.00E+03,9.40E+08,0,1,0,0,1,1,1,0
6,monoculture,t3,1.80E+10,1.02E+07,0,0.916666667,0.083333333,0,1.208333333,1.208333333,1.318,0.227272727
1,5-clone,t3,0.00E+00,1.23E+09,0,1,0,0,2,2,2,0
2,5-clone,t3,4.60E+09,8.70E+05,0.208333333,0.541666667,0.25,0.041666667,0.5,0.541666667,2,0
3,5-clone,t3,1.20E+07,5.10E+08,0,1,0,0,1.041666667,1.041666667,1.042,0.041666667
4,5-clone,t3,0.00E+00,1.50E+09,0,1,0,0,2.125,2.125,2.125,0.114130435
5,5-clone,t3,5.80E+09,4.50E+06,0,1,0,0,1,1,1.04,0
6,5-clone,t3,1.60E+09,7.00E+08,0.083333333,0.916666667,0,0.5,0.791666667,1.291666667,2.267,0.600790514
1,50-clone,t3,0.00E+00,3.40E+09,0,1,0,0,1.708333333,1.708333333,2.708,0.369565217
2,50-clone,t3,1.40E+04,1.80E+08,0,0.941176471,0.058823529,0,1.117647059,1.117647059,2.067,0.066666667
3,50-clone,t3,2.00E+03,7.00E+08,0.083333333,0.708333333,0.208333333,0,1,1,1.211,0.245614035
4,50-clone,t3,1.20E+06,7.60E+08,0,1,0,0,1.208333333,1.208333333,1.208,0.172101449
5,50-clone,t3,3.60E+05,1.80E+09,0.083333333,0.916666667,0,0,2.791666667,2.791666667,4.045,3.16017316
6,50-clone,t3,4.00E+03,9.40E+08,0,1,0,0,1.083333333,1.083333333,2.083,0.201086957