Bottleneck,Replicate,Spacer.Number,mean,lower,upper,pfu
1-clone,1,Single,0.667,,,
1-clone,1,Multiple,0.333,,,
5-clone,1,Single,0.708,,,
5-clone,1,Multiple,0.292,,,
50-clone,1,Single,0.708,,,
50-clone,1,Multiple,0.292,,,
1-clone,2,Single,1,,,
1-clone,2,Multiple,0,,,
5-clone,2,Single,0.667,,,
5-clone,2,Multiple,0.333,,,
50-clone,2,Single,0.733,,,
50-clone,2,Multiple,0.267,,,
1-clone,3,Single,1,,,
1-clone,3,Multiple,0,,,
5-clone,3,Single,1,,,
5-clone,3,Multiple,0,,,
50-clone,3,Single,0.421,,,
50-clone,3,Multiple,0.579,,,
1-clone,4,Single,1,,,
1-clone,4,Multiple,0,,,
5-clone,4,Single,0.25,,,
5-clone,4,Multiple,0.75,,,
50-clone,4,Single,0.25,,,
50-clone,4,Multiple,0.75,,,
1-clone,5,Single,0,,,
1-clone,5,Multiple,1,,,
5-clone,5,Single,0.625,,,
5-clone,5,Multiple,0.375,,,
50-clone,5,Single,0.636,,,
50-clone,5,Multiple,0.364,,,
1-clone,6,Single,0,,,
1-clone,6,Multiple,1,,,
5-clone,6,Single,0.385,,,
5-clone,6,Multiple,0.615,,,
50-clone,6,Single,0.208,,,
50-clone,6,Multiple,0.333,,,
1-clone,7,Single,1,,,
1-clone,7,Multiple,0,,,
5-clone,7,Single,0.522,,,
5-clone,7,Multiple,0.478,,,
50-clone,7,Single,0.5,,,
50-clone,7,Multiple,0.5,,,
1-clone,8,Single,0.958,,,
1-clone,8,Multiple,0.042,,,
5-clone,8,Single,0.13,,,
5-clone,8,Multiple,0.87,,,
50-clone,8,Single,0.125,,,
50-clone,8,Multiple,0.833,,,
1-clone,9,Single,0.917,,,
1-clone,9,Multiple,0.083,,,
5-clone,9,Single,0.292,,,
5-clone,9,Multiple,0.708,,,
50-clone,9,Single,0.292,,,
50-clone,9,Multiple,0.708,,,
1-clone,10,Single,0,,,
1-clone,10,Multiple,1,,,
5-clone,10,Single,0.875,,,
5-clone,10,Multiple,0.125,,,
50-clone,10,Single,0.87,,,
50-clone,10,Multiple,0.13,,,
1-clone,11,Single,0.045,,,
1-clone,11,Multiple,0.955,,,
5-clone,11,Single,0.667,,,
5-clone,11,Multiple,0.333,,,
50-clone,11,Single,0.667,,,
50-clone,11,Multiple,0.333,,,
1-clone,12,Single,0,,,
1-clone,12,Multiple,1,,,
5-clone,12,Single,0.33,,,
5-clone,12,Multiple,0.667,,,
50-clone,12,Single,0.333,,,
50-clone,12,Multiple,0.667,,,