ID,bottleneck,timepoint,pfu,cfu,raw,dilution,MOI
1,2,t0,3.60E+05,3.40E+06,34,1.00E+05,1.06
2,2,t0,7.80E+04,3.20E+06,32,1.00E+05,0.24
3,2,t0,4.80E+05,3.00E+06,30,1.00E+05,1.6
1,3,t0,3.60E+05,5.30E+06,53,1.00E+05,0.68
2,3,t0,5.20E+05,3.60E+06,36,1.00E+05,1.44
3,3,t0,4.00E+05,3.00E+06,30,1.00E+05,1.33
1,4,t0,4.60E+05,3.70E+06,37,1.00E+05,1.24
2,4,t0,6.00E+04,2.80E+06,28,1.00E+05,0.21
3,4,t0,3.80E+05,3.90E+06,39,1.00E+05,0.97
1,5,t0,3.60E+05,2.80E+06,28,1.00E+05,1.29
2,5,t0,4.80E+05,2.50E+06,25,1.00E+05,1.92
3,5,t0,4.00E+05,4.00E+06,40,1.00E+05,1
1,6,t0,1.20E+05,3.00E+06,30,1.00E+05,0.4
2,6,t0,1.00E+05,2.80E+06,28,1.00E+05,0.36
3,6,t0,6.00E+04,3.80E+06,38,1.00E+05,0.16
1,7,t0,1.20E+05,3.80E+06,38,1.00E+05,0.32
2,7,t0,2.60E+05,6.70E+06,67,1.00E+05,0.39
3,7,t0,1.00E+05,6.70E+06,67,1.00E+05,0.15
1,8,t0,1.40E+05,3.10E+06,31,1.00E+05,0.45
2,8,t0,1.20E+05,2.70E+06,27,1.00E+05,0.44
3,8,t0,8.00E+04,3.80E+06,38,1.00E+05,0.21
1,9,t0,1.60E+05,2.80E+06,28,1.00E+05,0.57
2,9,t0,6.00E+05,4.40E+06,44,1.00E+05,1.36
3,9,t0,1.20E+05,4.30E+06,43,1.00E+05,0.28
1,2,t1,5.40E+09,2.42E+06,242,1.00E+04,
2,2,t1,4.20E+09,6.00E+04,6,1.00E+04,
3,2,t1,3.00E+09,6.20E+05,62,1.00E+04,
1,3,t1,3.00E+09,5.70E+05,57,1.00E+04,
2,3,t1,2.60E+09,3.24E+06,324,1.00E+04,
3,3,t1,3.20E+09,5.00E+05,50,1.00E+04,
1,4,t1,4.60E+09,2.80E+05,28,1.00E+04,
2,4,t1,1.00E+09,1.80E+05,18,1.00E+04,
3,4,t1,1.40E+11,2.54E+06,254,1.00E+04,
1,5,t1,4.80E+09,4.00E+04,4,1.00E+04,
2,5,t1,3.40E+09,1.00E+05,10,1.00E+04,
3,5,t1,4.80E+09,2.00E+05,20,1.00E+04,
1,6,t1,6.00E+09,3.84E+06,384,1.00E+04,
2,6,t1,4.60E+09,8.80E+05,88,1.00E+04,
3,6,t1,4.80E+09,2.00E+06,200,1.00E+04,
1,7,t1,1.40E+10,2.02E+06,202,1.00E+04,
2,7,t1,4.00E+09,2.56E+06,256,1.00E+04,
3,7,t1,3.40E+09,7.10E+05,71,1.00E+04,
1,8,t1,1.60E+10,1.92E+06,192,1.00E+04,
2,8,t1,1.00E+10,2.88E+06,288,1.00E+04,
3,8,t1,1.00E+10,4.32E+06,432,1.00E+04,
1,9,t1,1.20E+10,2.38E+06,238,1.00E+04,
2,9,t1,5.20E+09,1.52E+06,152,1.00E+04,
3,9,t1,1.20E+10,5.20E+06,520,1.00E+04,
1,2,t2,1.20E+08,2.88E+09,288,1.00E+07,
2,2,t2,2.80E+08,9.20E+08,92,1.00E+07,
3,2,t2,1.20E+09,1.86E+10,1856,1.00E+07,
1,3,t2,2.20E+08,1.42E+10,1416,1.00E+07,
2,3,t2,1.40E+06,2.80E+08,28,1.00E+07,
3,3,t2,1.40E+08,5.10E+08,51,1.00E+07,
1,4,t2,3.40E+06,4.00E+08,40,1.00E+07,
2,4,t2,2.20E+07,5.00E+08,50,1.00E+07,
3,4,t2,6.00E+05,7.80E+08,78,1.00E+07,
1,5,t2,2.20E+07,3.50E+08,35,1.00E+07,
2,5,t2,8.00E+05,1.40E+08,14,1.00E+07,
3,5,t2,1.80E+05,1.40E+08,14,1.00E+07,
1,6,t2,3.00E+04,5.50E+08,55,1.00E+07,
2,6,t2,1.40E+05,5.60E+08,56,1.00E+07,
3,6,t2,6.00E+02,1.80E+08,18,1.00E+07,
1,7,t2,2.40E+05,1.10E+08,11,1.00E+07,
2,7,t2,0.00E+00,1.80E+08,18,1.00E+07,
3,7,t2,0.00E+00,4.60E+08,46,1.00E+07,
1,8,t2,0.00E+00,3.20E+07,32,1.00E+06,
2,8,t2,0.00E+00,3.00E+06,3,1.00E+06,
3,8,t2,0.00E+00,9.00E+06,9,1.00E+06,
1,9,t2,0.00E+00,1.03E+06,103,1.00E+04,
2,9,t2,0.00E+00,0.00E+00,0,1.00E+01,
3,9,t2,0.00E+00,7.90E+05,79,1.00E+04,
1,2,t3,1.40E+06,4.50E+08,45,1.00E+07,
2,2,t3,4.20E+06,4.40E+08,44,1.00E+07,
3,2,t3,3.40E+06,4.50E+08,45,1.00E+07,
1,3,t3,3.00E+07,3.80E+08,38,1.00E+07,
2,3,t3,4.60E+08,3.10E+08,31,1.00E+07,
3,3,t3,5.00E+05,3.00E+08,30,1.00E+07,
1,4,t3,4.80E+03,2.20E+08,22,1.00E+07,
2,4,t3,2.00E+05,1.00E+08,10,1.00E+07,
3,4,t3,4.00E+02,2.80E+08,28,1.00E+07,
1,5,t3,3.00E+04,1.50E+08,15,1.00E+07,
2,5,t3,0.00E+00,7.00E+07,7,1.00E+07,
3,5,t3,0.00E+00,1.70E+08,17,1.00E+07,
1,6,t3,0.00E+00,4.00E+07,4,1.00E+07,
2,6,t3,0.00E+00,9.00E+07,9,1.00E+07,
3,6,t3,1.60E+03,4.72E+09,472,1.00E+07,
1,7,t3,0.00E+00,5.00E+06,50,1.00E+05,
2,7,t3,0.00E+00,4.20E+06,42,1.00E+05,
3,7,t3,0.00E+00,2.00E+06,20,1.00E+05,
1,8,t3,0.00E+00,2.44E+06,244,1.00E+04,
2,8,t3,0.00E+00,2.00E+03,2,1.00E+03,
3,8,t3,0.00E+00,0.00E+00,0,1.00E+00,
1,9,t3,0.00E+00,0.00E+00,0,1.00E+00,
2,9,t3,0.00E+00,0.00E+00,0,1.00E+00,
3,9,t3,0.00E+00,0.00E+00,0,1.00E+00,
1,2,t4,2.00E+02,4.60E+08,23,20000000,
2,2,t4,0.00E+00,4.00E+08,20,20000000,
3,2,t4,2.00E+02,4.60E+08,23,20000000,
1,3,t4,0.00E+00,3.60E+08,18,20000000,
2,3,t4,0.00E+00,1.60E+08,8,20000000,
3,3,t4,2.00E+02,3.00E+08,15,20000000,
1,4,t4,6.00E+02,2.80E+08,14,20000000,
2,4,t4,6.00E+03,3.60E+08,18,20000000,
3,4,t4,4.00E+02,2.60E+08,13,20000000,
1,5,t4,0.00E+00,2.80E+08,14,20000000,
2,5,t4,0.00E+00,1.20E+08,6,20000000,
3,5,t4,0.00E+00,1.80E+08,9,20000000,
1,6,t4,0.00E+00,1.20E+08,6,20000000,
2,6,t4,0.00E+00,1.60E+08,8,20000000,
3,6,t4,0.00E+00,4.60E+07,23,2000000,
1,7,t4,0.00E+00,3.20E+06,16,200000,
2,7,t4,0.00E+00,3.20E+06,16,200000,
3,7,t4,0.00E+00,3.00E+06,15,200000,
1,8,t4,0.00E+00,0.00E+00,0,0,
2,8,t4,0.00E+00,0.00E+00,0,0,
3,8,t4,0.00E+00,0.00E+00,0,0,
1,9,t4,0.00E+00,0.00E+00,0,0,
2,9,t4,0.00E+00,0.00E+00,0,0,
3,9,t4,0.00E+00,0.00E+00,0,0,
1,2,t5,,,,,
2,2,t5,,,,,
3,2,t5,,,,,
1,3,t5,,,,,
2,3,t5,,,,,
3,3,t5,,,,,
1,4,t5,,,,,
2,4,t5,,,,,
3,4,t5,,,,,
1,5,t5,,,,,
2,5,t5,,,,,
3,5,t5,,,,,
1,6,t5,,,,,
2,6,t5,,,,,
3,6,t5,,,,,
1,7,t5,,,,,
2,7,t5,,,,,
3,7,t5,,,,,
1,8,t5,,,,,
2,8,t5,,,,,
3,8,t5,,,,,
1,9,t5,,,,,
2,9,t5,,,,,
3,9,t5,,,,,