ID,bottleneck,timepoint,culture,pfu,CRISPR.cfu,sm.cfu,prop.Sensitive,prop.CRISPR,prop.SM,mean.CR1.spacers, mean.CR2.spacers,mean.total.spacers
WT.1,100,t3,WT,3400000,630000000,420000000,0,0.636363636,0.363636364,2,1.571428571,3.571428571
WT.2,100,t3,WT,3600000,430000000,70000000,0.095238095,0.619047619,0.285714286,1,1.416666667,2.416666667
WT.3,100,t3,WT,1200000,420000000,140000000,0,0.789473684,0.210526316,1,1.866666667,2.866666667
WT.4,100,t3,WT,1800000,440000000,60000000,0,0.826086957,0.173913043,1,1.315789474,2.315789474
WT.5,100,t3,WT,1200000,340000000,130000000,0,0.708333333,0.291666667,1,1.529411765,2.529411765
WT.6,100,t3,WT,520000,110000000,100000000,0,0.333333333,0.666666667,0,1.714285714,1.714285714
WT.1,1000,t3,WT,4800000,1500000000,220000000,0.05,0.85,0.1,1,2.352941176,3.352941176
WT.2,1000,t3,WT,34000,1850000000,220000000,0.15,0.7,0.15,1,2.071428571,3.071428571
WT.3,1000,t3,WT,500000,500000000,160000000,0.043478261,0.695652174,0.260869565,1.25,1.8125,3.0625
WT.4,1000,t3,WT,200000000,1330000000,310000000,0.166666667,0.583333333,0.25,1,2.142857143,3.142857143
WT.5,1000,t3,WT,22000000,310000000,10000000,0.208333333,0.75,0.041666667,0,1.722222222,1.722222222
WT.6,1000,t3,WT,2000000,590000000,80000000,0,0.913043478,0.086956522,1.3333333,2,3.3333333
WT.1,10000,t3,WT,4000000000,9080000000,360000000,0.041666667,0.875,0.083333333,1.125,1.789473684,2.914473684
WT.2,10000,t3,WT,400000000,8200000000,360000000,0.086956522,0.739130435,0.173913043,1.25,1.764705882,3.014705882
WT.3,10000,t3,WT,460000000,2220000000,30000000,0.291666667,0.625,0.083333333,1.16,1.5,2.66
WT.4,10000,t3,WT,260000000,1660000000,20000000,0.125,0.791666667,0.083333333,1,1.526315789,2.526315789
WT.5,10000,t3,WT,180000000,1420000000,40000000,0.125,0.833333333,0.041666667,1,1.9,2.9
WT.6,10000,t3,WT,180000,160000000,20000000,0.130434783,0.782608696,0.086956522,1.25,1.5,2.75
WT.1,100000,t3,WT,3200000000,400000000,8000000,0.181818182,0.363636364,0.454545455,1,1.125,2.125
WT.2,100000,t3,WT,4400000000,308000000,38000000,0.181818182,0.681818182,0.136363636,1.25,2.066666667,3.316666667
WT.3,100000,t3,WT,4200000000,752000000,60000000,0.041666667,0.75,0.208333333,1.5,1.388888889,2.888888889
WT.4,100000,t3,WT,2400000000,608000000,8000000,0.166666667,0.708333333,0.125,1.25,1.705882353,2.955882353
WT.5,100000,t3,WT,42000000,456000000,80000000,0.583333333,0.291666667,0.125,1,1.142857143,2.142857143
WT.6,100000,t3,WT,3000000000,828000000,56000000,0.130434783,0.782608696,0.086956522,1,2.277777778,3.277777778
WT.1,1000000,t3,WT,4000000000,264000000,28000000,0.291666667,0.666666667,0.041666667,1.5,1.75,3.25
WT.2,1000000,t3,WT,34000,88000000,1000000,0.75,0.125,0.125,0,1.333333333,1.333333333
WT.3,1000000,t3,WT,120000,100000000,4000000,0.833333333,0.125,0.041666667,0,1.333333333,1.333333333
WT.4,1000000,t3,WT,1800000000,732000000,0,0.666666667,0.041666667,0.291666667,0,1,1
WT.5,1000000,t3,WT,0,240000000,4000000,0.833333333,0.166666667,0,1,1.5,2.5
WT.6,1000000,t3,WT,0,109000000,3000000,0.833333333,0.125,0.041666667,1,1,2
WT.3,10000000,t3,WT,0,14000000,0,0.833333333,0.083333333,0.083333333,1,1.5,2.5
WT.4,10000000,t3,WT,0,76000000,4000000,0.875,0.125,0,0,1,1