bottleneck,repeat,Sensitive,CRISPR,SM,Total,prop.Sensitive,prop.CRISPR,prop.SM
monoculture,1,0,19,5,24,0,0.791666667,0.208333333
monoculture,2,1,23,0,24,0.041666667,0.958333333,0
monoculture,3,2,16,6,24,0.083333333,0.666666667,0.25
monoculture,4,0,24,0,24,0,1,0
monoculture,5,0,24,0,24,0,1,0
monoculture,6,0,22,2,24,0,0.916666667,0.083333333
5-clone,1,0,24,0,24,0,1,0
5-clone,2,5,13,6,24,0.208333333,0.541666667,0.25
5-clone,3,0,24,0,24,0,1,0
5-clone,4,0,24,0,24,0,1,0
5-clone,5,0,24,0,24,0,1,0
5-clone,6,2,22,0,24,0.083333333,0.916666667,0
50-clone,1,0,24,0,24,0,1,0
50-clone,2,0,16,1,17,0,0.941176471,0.058823529
50-clone,3,2,17,5,24,0.083333333,0.708333333,0.208333333
50-clone,4,0,24,0,24,0,1,0
50-clone,5,2,22,0,24,0.083333333,0.916666667,0
50-clone,6,0,4,0,4,0,1,0